Timestamp	PC Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Int A12	Int A13	Int A14	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z
144075.287	NaN	-5.815	2.457	20.957	1504.029	1501.099	1495.971	-2.626	0.916	3.359	-0.383	-1.148	-9.263
144076.263	NaN	-5.837	2.457	20.967	1504.029	1501.099	1495.971	-2.595	0.962	3.389	-0.383	-1.072	-9.416
144077.240	NaN	-5.826	2.489	20.946	1503.297	1500.366	1493.040	-2.733	0.947	3.496	-0.306	-1.148	-9.569
144078.217	NaN	-5.826	2.478	20.978	1505.495	1501.099	1495.971	-2.611	0.855	3.542	-0.383	-1.072	-9.340
144079.193	NaN	-5.804	2.467	20.978	1504.029	1501.099	1495.238	-2.244	0.931	3.573	-0.306	-1.148	-9.493
144080.170	NaN	-5.870	2.457	21.000	1504.029	1500.366	1495.971	-2.305	0.916	3.588	-0.306	-1.148	-9.416
144081.146	NaN	-5.859	2.457	21.022	1504.762	1500.366	1494.505	-2.641	1.053	3.435	-0.459	-1.148	-9.263
144082.123	NaN	-5.891	2.467	20.989	1504.762	1500.366	1496.703	-2.565	1.069	3.374	-0.459	-1.148	-9.340
144083.099	NaN	-5.848	2.446	20.957	1504.029	1500.366	1495.971	-2.458	0.916	3.420	-0.383	-1.301	-9.340
144084.076	NaN	-5.859	2.446	20.957	1503.297	1501.099	1495.971	-2.458	0.733	3.282	-0.459	-1.148	-9.340
144085.052	NaN	-5.837	2.435	20.967	1504.029	1501.099	1495.238	-2.672	0.748	3.344	-0.153	-0.995	-9.340
144086.029	NaN	-5.815	2.424	21.011	1504.029	1501.099	1495.238	-2.656	0.855	3.374	-0.383	-1.072	-9.340
144087.006	NaN	-5.826	2.413	20.989	1504.762	1500.366	1495.971	-2.779	0.840	3.405	-0.459	-1.072	-9.263
144087.982	NaN	-5.848	2.424	20.913	1504.762	1500.366	1495.238	-2.718	0.992	3.527	-0.536	-1.148	-9.340
144088.959	NaN	-5.815	2.435	20.989	1503.297	1500.366	1496.703	-2.550	0.855	3.649	-0.459	-1.072	-9.340
144089.935	NaN	-5.783	2.435	20.946	1504.762	1500.366	1497.436	-2.672	0.779	3.588	-0.383	-1.072	-9.416
144090.912	NaN	-5.880	2.424	21.043	1504.762	1500.366	1495.238	-2.748	0.977	3.435	-0.383	-1.148	-9.493
144091.888	NaN	-5.870	2.446	21.022	1504.762	1501.099	1495.971	-2.412	0.992	3.420	-0.306	-0.995	-9.416
144092.865	NaN	-5.880	2.478	20.989	1505.495	1500.366	1495.238	-2.153	0.916	3.527	-0.383	-1.148	-9.340
144093.842	NaN	-5.804	2.478	20.978	1503.297	1501.099	1495.971	-2.244	0.870	3.420	-0.306	-1.225	-9.416
144094.818	NaN	-5.815	2.446	21.033	1503.297	1501.099	1495.238	-2.534	1.008	3.237	-0.459	-1.225	-9.340
144095.795	NaN	-5.870	2.446	21.043	1504.029	1500.366	1496.703	-2.779	1.115	3.298	-0.383	-0.995	-9.416
144096.771	NaN	-5.826	2.467	20.967	1504.029	1501.099	1495.971	-2.748	0.977	3.420	-0.306	-1.072	-9.416
144097.748	NaN	-5.783	2.478	20.957	1504.762	1500.366	1496.703	-2.443	0.901	3.496	-0.383	-1.148	-9.493
144098.724	NaN	-5.902	2.457	21.000	1504.762	1500.366	1495.238	-2.473	0.947	3.603	-0.306	-1.072	-9.416
144099.701	NaN	-5.859	2.467	21.000	1503.297	1500.366	1495.238	-2.519	0.809	3.389	-0.306	-1.225	-9.493
144100.677	NaN	-5.826	2.467	20.957	1504.762	1501.099	1496.703	-2.260	0.763	3.466	-0.383	-1.148	-9.493
144101.654	NaN	-5.859	2.467	20.902	1505.495	1500.366	1495.238	-2.351	0.824	3.573	-0.459	-1.148	-9.416
144102.631	NaN	-5.859	2.457	20.957	1503.297	1500.366	1495.971	-2.656	0.794	3.405	-0.459	-1.148	-9.416
144103.607	NaN	-5.870	2.467	21.011	1504.029	1499.634	1495.238	-2.733	0.870	3.344	-0.383	-1.148	-9.340
144104.584	NaN	-5.870	2.446	20.957	1505.495	1500.366	1495.238	-2.366	0.916	3.435	-0.459	-1.072	-9.340
144105.560	NaN	-5.848	2.446	20.946	1504.029	1500.366	1495.971	-2.427	1.145	3.481	-0.383	-1.072	-9.340
144106.537	NaN	-5.859	2.478	21.000	1504.029	1500.366	1496.703	-2.534	1.176	3.481	-0.306	-1.301	-9.493
144107.513	NaN	-5.859	2.457	20.967	1503.297	1500.366	1495.971	-2.672	1.099	3.588	-0.383	-1.301	-9.340
144108.490	NaN	-5.826	2.446	20.946	1503.297	1499.634	1497.436	-2.580	0.809	3.649	-0.459	-1.072	-9.416
144109.467	NaN	-5.913	2.457	21.022	1504.029	1501.099	1497.436	-2.473	0.901	3.344	-0.459	-1.072	-9.416
144110.443	NaN	-5.859	2.446	20.967	1504.762	1501.099	1495.238	-2.611	0.931	3.206	-0.383	-1.072	-9.416
144111.420	NaN	-5.815	2.489	20.978	1504.762	1501.099	1495.238	-2.718	0.916	3.344	-0.306	-1.148	-9.416
144112.396	NaN	-5.815	2.489	21.000	1504.029	1500.366	1496.703	-2.672	0.916	3.313	-0.459	-1.301	-9.493
144113.373	NaN	-5.837	2.446	21.033	1506.227	1500.366	1497.436	-2.641	0.885	3.450	-0.306	-1.072	-9.340
144114.349	NaN	-5.815	2.467	20.946	1504.029	1501.099	1495.971	-2.641	0.901	3.481	-0.383	-1.072	-9.493
144115.326	NaN	-5.761	2.446	20.989	1504.029	1501.099	1495.238	-2.458	0.809	3.450	-0.383	-1.148	-9.340
144116.302	NaN	-5.783	2.457	20.989	1503.297	1500.366	1495.971	-2.565	0.718	3.450	-0.383	-1.148	-9.493
144117.279	NaN	-5.815	2.467	20.989	1503.297	1501.099	1494.505	-2.626	0.901	3.359	-0.459	-1.225	-9.416
144118.256	NaN	-5.870	2.467	20.946	1505.495	1500.366	1495.238	-2.702	1.008	3.221	-0.459	-1.148	-9.263
144119.232	NaN	-5.870	2.489	20.946	1504.029	1500.366	1497.436	-2.702	0.947	3.221	-0.383	-1.148	-9.340
144120.209	NaN	-5.935	2.467	20.967	1504.029	1500.366	1495.971	-2.702	0.748	3.389	-0.383	-1.301	-9.416
