Timestamp	PC Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Int A12	Int A13	Int A14	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z
115576.294	NaN	-6.033	2.391	20.967	1504.029	1500.366	1495.238	-0.672	-1.664	-8.763	-0.459	0.000	-9.416
115577.271	NaN	-5.717	2.348	20.967	1503.297	1500.366	1495.971	-0.885	-1.603	-8.718	-0.230	-1.455	-9.263
115578.247	NaN	-5.848	2.293	20.891	1504.029	1501.099	1496.703	-0.870	-1.771	-8.626	-0.306	-1.148	-9.263
115579.224	NaN	-6.065	2.326	20.859	1503.297	1501.099	1496.703	-0.794	-1.908	-8.718	-0.689	-1.148	-9.569
115580.200	NaN	-5.891	2.370	20.913	1503.297	1501.099	1495.971	-0.901	-1.756	-8.779	-0.689	-1.225	-9.416
115581.177	NaN	-6.174	2.435	20.870	1504.029	1501.099	1496.703	-1.099	-1.618	-8.748	-0.612	-1.148	-9.493
115582.153	NaN	-5.859	2.402	20.978	1503.297	1500.366	1495.238	-1.130	-1.603	-8.885	-0.459	-1.301	-9.646
115583.130	NaN	-5.880	2.315	20.946	1504.029	1501.832	1495.971	-1.115	-1.817	-8.748	-0.383	-0.153	-9.263
115584.106	NaN	-5.848	2.304	20.902	1503.297	1501.099	1497.436	-0.947	-1.893	-8.595	-0.383	-1.301	-9.340
115585.083	NaN	-5.848	2.304	20.707	1504.762	1501.099	1496.703	-0.840	-1.695	-8.641	-0.459	-1.072	-9.263
115586.060	NaN	-6.011	2.337	20.957	1504.762	1500.366	1495.238	-0.580	-1.695	-8.565	-0.306	-1.072	-9.187
115587.036	NaN	-5.902	2.435	21.054	1503.297	1500.366	1494.505	-0.748	-1.725	-8.504	-0.536	-1.225	-9.416
115588.013	NaN	-5.924	2.467	21.043	1503.297	1500.366	1495.238	-0.947	-1.756	-8.550	-0.306	-1.072	-9.187
115588.989	NaN	-6.054	2.370	21.033	1504.029	1501.099	1493.773	-1.084	-1.710	-8.702	-0.536	-1.301	-9.416
115589.966	NaN	-5.728	2.326	21.076	1502.564	1499.634	1496.703	-1.038	-1.695	-8.519	-0.536	-1.072	-9.263
115590.942	NaN	-5.880	2.293	20.989	1503.297	1499.634	1496.703	-0.992	-1.771	-8.626	-0.383	-1.378	-9.263
115591.919	NaN	-6.022	2.304	20.967	1504.762	1501.099	1495.971	-0.824	-1.954	-8.489	-0.383	-1.148	-9.187
115592.896	NaN	-5.870	2.380	21.076	1503.297	1500.366	1494.505	-1.038	-1.908	-8.565	-0.612	-1.148	-9.340
115593.872	NaN	-6.196	2.446	21.130	1504.029	1500.366	1496.703	-1.435	-1.786	-8.565	-0.230	-1.378	-9.340
115594.849	NaN	-5.826	2.380	21.163	1504.029	1501.099	1495.971	-1.374	-1.817	-8.473	-0.459	-1.072	-9.416
115595.825	NaN	-5.935	2.283	21.054	1504.029	1501.832	1495.238	-1.160	-1.893	-8.550	-0.612	-1.378	-9.493
115596.802	NaN	-5.804	2.315	21.076	1504.029	1501.099	1496.703	-1.115	-1.817	-8.489	-0.612	-1.072	-9.187
115597.778	NaN	-5.913	2.304	20.946	1504.029	1500.366	1495.238	-1.252	-1.878	-8.504	-0.689	-1.225	-9.263
115598.755	NaN	-6.033	2.370	21.239	1504.029	1500.366	1496.703	-1.130	-1.878	-8.504	-0.383	-1.455	-9.263
115599.731	NaN	-5.880	2.435	21.217	1503.297	1500.366	1495.238	-1.176	-1.817	-8.565	-0.459	-1.148	-9.263
115600.708	NaN	-5.826	2.424	21.163	1503.297	1501.099	1495.971	-1.176	-1.756	-8.824	-0.306	-1.455	-9.263
115601.685	NaN	-5.935	2.370	21.109	1504.029	1501.099	1495.238	-0.977	-1.725	-8.901	-0.766	-1.225	-9.569
115602.661	NaN	-5.707	2.283	21.087	1503.297	1499.634	1495.971	-0.962	-2.031	-8.794	-0.306	-1.225	-9.187
115603.638	NaN	-5.967	2.304	21.130	1503.297	1500.366	1495.238	-1.084	-2.107	-8.626	-0.459	-1.301	-9.340
115604.614	NaN	-5.978	2.370	21.163	1503.297	1499.634	1495.971	-1.328	-1.832	-8.397	-0.383	-0.995	-9.187
115605.591	NaN	-5.967	2.424	21.250	1503.297	1501.099	1495.971	-1.313	-1.649	-8.336	-0.612	-1.608	-9.493
115606.567	NaN	-6.076	2.457	21.261	1504.029	1501.832	1495.971	-1.176	-1.695	-8.443	-0.459	-1.148	-9.340
115607.544	NaN	-5.717	2.337	21.163	1503.297	1501.099	1496.703	-1.053	-1.893	-8.534	-0.306	-1.225	-9.110
115608.521	NaN	-5.946	2.239	21.065	1504.029	1500.366	1493.773	-1.008	-1.924	-8.595	-0.689	-1.455	-9.416
115609.497	NaN	-5.685	2.283	21.141	1503.297	1500.366	1496.703	-1.252	-1.802	-8.473	-0.383	-1.148	-9.263
115610.474	NaN	-6.087	2.326	21.011	1503.297	1500.366	1495.971	-1.237	-1.740	-8.382	-0.230	-1.455	-9.263
115611.450	NaN	-6.022	2.446	21.293	1502.564	1501.099	1495.971	-1.389	-1.740	-8.473	-0.459	-1.072	-9.187
115612.427	NaN	-5.739	2.446	21.272	1503.297	1500.366	1495.238	-1.176	-1.939	-8.458	-0.459	-1.455	-9.416
115613.403	NaN	-5.848	2.402	21.196	1502.564	1500.366	1493.773	-1.221	-2.137	-8.412	-0.153	-1.378	-9.110
115614.380	NaN	-5.804	2.337	21.087	1502.564	1501.099	1495.971	-1.420	-1.985	-8.489	-0.536	-1.225	-9.493
115615.356	NaN	-5.772	2.283	21.185	1504.762	1499.634	1497.436	-1.420	-1.939	-8.305	-0.230	-1.455	-9.033
115616.333	NaN	-5.913	2.380	21.174	1504.029	1499.634	1496.703	-1.115	-1.802	-8.305	-0.230	-1.148	-9.187
