Timestamp	PC Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Int A12	Int A13	Int A14	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z
421180.573	NaN	-3.250	1.293	9.413	1505.495	1504.029	1510.623	-10.229	-1.405	11.695	-5.895	-0.536	8.344
421181.549	NaN	-3.228	1.304	9.402	1505.495	1504.762	1509.890	-10.229	-1.481	11.542	-5.895	-0.612	8.191
421182.526	NaN	-3.217	1.293	9.413	1505.495	1503.297	1509.890	-10.137	-1.573	11.435	-5.742	-0.612	8.421
421183.502	NaN	-3.217	1.293	9.402	1505.495	1504.762	1510.623	-10.031	-1.557	11.481	-5.895	-0.689	8.268
421184.479	NaN	-3.228	1.304	9.391	1505.495	1503.297	1511.355	-10.015	-1.389	11.481	-5.971	-0.536	8.421
421185.455	NaN	-3.228	1.304	9.380	1505.495	1503.297	1510.623	-10.076	-1.344	11.511	-5.895	-0.536	8.421
421186.432	NaN	-3.228	1.293	9.391	1504.762	1503.297	1509.890	-10.229	-1.344	11.511	-5.818	-0.612	8.344
421187.408	NaN	-3.228	1.315	9.391	1505.495	1503.297	1509.158	-10.137	-1.328	11.557	-5.895	-0.612	8.191
421188.385	NaN	-3.228	1.304	9.391	1504.762	1504.029	1509.890	-10.183	-1.313	11.817	-5.895	-0.612	8.115
421189.362	NaN	-3.239	1.293	9.391	1505.495	1504.029	1509.890	-10.076	-1.328	11.588	-5.971	-0.536	8.344
421190.338	NaN	-3.228	1.304	9.402	1506.227	1504.029	1510.623	-9.924	-1.328	11.435	-5.971	-0.536	8.344
421191.315	NaN	-3.217	1.293	9.402	1506.227	1504.029	1509.890	-10.031	-1.344	11.435	-5.895	-0.689	8.421
421192.291	NaN	-3.207	1.293	9.413	1505.495	1504.029	1510.623	-10.397	-1.328	11.557	-5.971	-0.536	8.344
421193.268	NaN	-3.217	1.283	9.413	1505.495	1503.297	1511.355	-10.489	-1.359	11.573	-5.818	-0.536	8.268
421194.244	NaN	-3.207	1.283	9.413	1506.227	1504.029	1509.158	-10.107	-1.252	11.496	-5.895	-0.612	8.344
421195.221	NaN	-3.207	1.293	9.413	1505.495	1504.029	1510.623	-10.015	-1.374	11.466	-5.818	-0.459	8.115
421196.198	NaN	-3.207	1.283	9.402	1503.297	1504.029	1510.623	-10.076	-1.466	11.389	-6.048	-0.459	8.268
421197.174	NaN	-3.228	1.283	9.402	1504.762	1503.297	1510.623	-10.107	-1.374	11.252	-5.895	-0.612	8.344
421198.151	NaN	-3.228	1.272	9.391	1505.495	1504.029	1509.158	-10.061	-1.282	11.252	-5.818	-0.536	8.344
421199.127	NaN	-3.239	1.283	9.402	1506.227	1504.029	1510.623	-9.969	-1.206	11.450	-5.971	-0.689	8.268
421200.104	NaN	-3.217	1.293	9.413	1504.762	1504.029	1510.623	-9.985	-1.145	11.511	-5.971	-0.689	8.268
421201.080	NaN	-3.217	1.293	9.424	1505.495	1503.297	1510.623	-9.939	-1.221	11.298	-5.971	-0.383	8.268
421202.057	NaN	-3.228	1.293	9.424	1505.495	1504.029	1509.158	-10.244	-1.313	11.282	-5.971	-0.536	8.421
421203.033	NaN	-3.239	1.293	9.402	1504.762	1503.297	1509.158	-10.305	-1.282	11.252	-5.971	-0.612	8.268
421204.010	NaN	-3.239	1.315	9.413	1506.227	1503.297	1511.355	-10.321	-1.267	11.542	-5.895	-0.536	8.421
421204.987	NaN	-3.239	1.315	9.413	1505.495	1503.297	1509.890	-10.443	-1.344	11.710	-5.818	-0.612	8.344
421205.963	NaN	-3.239	1.304	9.413	1504.762	1503.297	1510.623	-10.076	-1.344	11.542	-5.895	-0.612	8.268
421206.940	NaN	-3.239	1.293	9.413	1504.029	1504.029	1510.623	-9.969	-1.374	11.420	-5.895	-0.612	8.498
421207.916	NaN	-3.239	1.304	9.424	1506.960	1504.029	1510.623	-10.076	-1.374	11.344	-5.895	-0.536	8.268
421208.893	NaN	-3.228	1.304	9.424	1505.495	1504.029	1509.890	-10.092	-1.405	11.496	-5.818	-0.612	8.268
421209.869	NaN	-3.239	1.293	9.413	1504.029	1504.029	1510.623	-10.061	-1.405	11.603	-5.818	-0.536	8.421
421210.846	NaN	-3.217	1.315	9.424	1504.762	1503.297	1510.623	-10.153	-1.359	11.588	-5.971	-0.383	8.344
421211.823	NaN	-3.228	1.315	9.413	1504.762	1504.029	1509.158	-10.153	-1.313	11.405	-5.818	-0.536	8.344
421212.799	NaN	-3.228	1.315	9.413	1505.495	1504.762	1510.623	-10.107	-1.237	11.389	-5.895	-0.612	8.268
421213.776	NaN	-3.228	1.304	9.413	1504.762	1504.029	1509.158	-10.183	-1.145	11.634	-6.048	-0.689	8.344
421214.752	NaN	-3.217	1.315	9.435	1505.495	1504.029	1510.623	-10.183	-1.267	11.511	-5.895	-0.612	8.421
421215.729	NaN	-3.207	1.315	9.424	1505.495	1503.297	1510.623	-10.244	-1.359	11.389	-5.818	-0.536	8.344
421216.705	NaN	-3.207	1.304	9.424	1506.227	1504.029	1512.088	-10.076	-1.206	11.435	-5.971	-0.612	8.421
421217.682	NaN	-3.207	1.315	9.424	1504.762	1504.762	1510.623	-10.076	-1.176	11.481	-5.895	-0.689	8.421
421218.658	NaN	-3.207	1.304	9.413	1506.227	1503.297	1510.623	-10.183	-1.298	11.435	-5.818	-0.536	8.421
421219.635	NaN	-3.207	1.315	9.402	1505.495	1504.762	1509.158	-10.122	-1.374	11.405	-5.895	-0.536	8.421
