Timestamp	PC Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Int A12	Int A13	Int A14	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z
32816.315	NaN	2.511	6.859	-5.293	1512.088	1499.634	1501.099	-0.580	-0.137	2.183	0.306	5.512	-7.809
32818.268	NaN	2.500	6.848	-5.304	1510.623	1500.366	1499.634	-0.489	-0.015	2.305	0.306	5.512	-7.732
32819.244	NaN	2.511	6.837	-5.293	1509.158	1499.634	1500.366	-0.260	0.015	2.397	0.459	5.512	-7.732
32820.221	NaN	2.511	6.848	-5.304	1510.623	1499.634	1501.099	-0.214	0.000	2.382	0.230	5.512	-7.885
32821.198	NaN	2.500	6.859	-5.293	1510.623	1501.099	1500.366	-0.168	0.061	2.107	0.306	5.435	-7.732
32822.174	NaN	2.500	6.859	-5.293	1509.890	1500.366	1498.901	-0.412	-0.061	2.183	0.459	5.359	-7.809
32823.151	NaN	2.489	6.848	-5.304	1510.623	1499.634	1501.099	-0.489	-0.229	2.214	0.230	5.512	-7.732
32824.127	NaN	2.489	6.848	-5.315	1509.890	1499.634	1499.634	-0.443	-0.244	2.031	0.383	5.359	-7.656
32825.104	NaN	2.500	6.848	-5.304	1509.890	1499.634	1500.366	-0.351	-0.107	2.244	0.383	5.512	-7.809
32826.080	NaN	2.511	6.859	-5.304	1512.088	1500.366	1498.901	-0.412	-0.031	2.260	0.383	5.512	-7.732
32827.057	NaN	2.511	6.837	-5.293	1510.623	1500.366	1501.099	-0.366	0.061	2.076	0.459	5.512	-7.732
32828.033	NaN	2.500	6.837	-5.283	1509.890	1500.366	1498.901	-0.122	0.092	1.969	0.306	5.359	-7.579
32829.010	NaN	2.489	6.826	-5.293	1510.623	1500.366	1499.634	-0.351	0.015	2.183	0.383	5.435	-7.656
32829.987	NaN	2.489	6.848	-5.283	1509.890	1500.366	1499.634	-0.565	-0.015	2.351	0.459	5.435	-7.732
32830.963	NaN	2.489	6.837	-5.293	1509.890	1500.366	1500.366	-0.565	0.061	2.458	0.383	5.512	-7.885
32831.940	NaN	2.500	6.848	-5.293	1510.623	1499.634	1500.366	-0.489	0.076	2.443	0.306	5.359	-7.732
32832.916	NaN	2.500	6.837	-5.293	1509.890	1499.634	1500.366	-0.443	0.061	2.397	0.383	5.359	-7.732
32833.893	NaN	2.511	6.848	-5.315	1510.623	1500.366	1498.901	-0.275	0.015	2.275	0.459	5.512	-7.809
32834.869	NaN	2.511	6.837	-5.315	1510.623	1499.634	1501.099	-0.061	-0.031	2.229	0.383	5.282	-7.656
32835.846	NaN	2.500	6.848	-5.315	1511.355	1499.634	1499.634	-0.137	0.031	2.229	0.306	5.589	-7.656
32836.823	NaN	2.489	6.859	-5.315	1510.623	1499.634	1499.634	-0.321	0.015	2.107	0.230	5.435	-7.732
32837.799	NaN	2.478	6.870	-5.326	1511.355	1498.901	1500.366	-0.290	-0.168	2.336	0.306	5.435	-7.656
32838.776	NaN	2.489	6.880	-5.315	1509.158	1500.366	1499.634	-0.366	-0.122	2.595	0.383	5.435	-7.656
32839.752	NaN	2.489	6.870	-5.304	1510.623	1500.366	1500.366	-0.427	0.000	2.458	0.383	5.435	-7.656
32840.729	NaN	2.500	6.859	-5.304	1509.890	1500.366	1499.634	-0.244	0.092	2.504	0.383	5.435	-7.732
32841.705	NaN	2.500	6.859	-5.304	1510.623	1499.634	1500.366	-0.321	0.122	2.382	0.383	5.435	-7.732
32842.682	NaN	2.500	6.859	-5.315	1511.355	1500.366	1500.366	-0.443	0.046	2.137	0.306	5.435	-7.732
32843.658	NaN	2.500	6.870	-5.315	1510.623	1500.366	1500.366	-0.519	-0.092	2.092	0.383	5.512	-7.809
