Timestamp	PC Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Int A12	Int A13	Int A14	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z
186698.822	3731581548.172	-5.978	2.337	21.109	1504.029	1500.366	1495.971	-0.611	0.550	-1.237	-0.459	-1.225	-9.110
186699.799	NaN	-5.772	2.348	21.228	1504.029	1500.366	1495.971	-0.626	0.626	-1.023	-0.689	-1.378	-9.416
186700.775	NaN	-5.935	2.391	21.011	1503.297	1500.366	1495.971	-0.672	0.748	-1.053	-0.306	-1.378	-9.416
186701.752	NaN	-5.793	2.424	21.043	1504.029	1501.099	1497.436	-0.595	0.718	-1.115	-0.306	-1.072	-9.187
186702.728	NaN	-6.109	2.348	20.902	1503.297	1501.099	1497.436	-0.397	0.687	-1.267	-0.306	-1.148	-9.263
186703.705	NaN	-5.717	2.380	21.185	1503.297	1500.366	1496.703	-0.382	0.672	-1.176	-0.306	-1.225	-9.263
186704.681	NaN	-5.978	2.337	21.022	1503.297	1501.099	1495.238	-0.489	0.824	-1.221	-0.383	-1.148	-9.340
186705.658	NaN	-5.935	2.359	20.902	1503.297	1500.366	1495.238	-0.382	0.626	-1.176	-0.230	-1.301	-9.340
186706.635	NaN	-6.043	2.348	20.946	1504.762	1501.099	1496.703	-0.351	0.489	-1.145	-0.919	-1.225	-9.416
186707.611	NaN	-5.739	2.380	21.152	1504.029	1499.634	1496.703	-0.458	0.550	-1.099	-0.306	-1.225	-9.340
186708.588	NaN	-5.967	2.402	21.098	1504.029	1500.366	1495.971	-0.183	0.565	-1.084	-0.612	-1.148	-9.416
186709.564	NaN	-5.946	2.315	20.924	1503.297	1500.366	1495.971	-0.382	0.641	-1.237	-0.383	-1.072	-9.340
186710.541	NaN	-5.935	2.337	21.120	1504.762	1500.366	1495.238	-0.641	0.885	-1.313	-0.459	-1.378	-9.340
186711.517	NaN	-5.978	2.370	21.109	1504.762	1499.634	1498.168	-0.550	0.870	-1.252	-0.077	-1.225	-9.263
186712.494	NaN	-5.859	2.359	21.120	1504.029	1500.366	1494.505	-0.626	0.809	-0.992	-0.612	-1.378	-9.416
186713.470	NaN	-5.913	2.370	21.033	1504.762	1500.366	1495.971	-0.504	0.656	-1.008	-0.306	-1.301	-9.416
186714.447	NaN	-5.750	2.391	20.946	1502.564	1500.366	1495.238	-0.397	0.519	-1.038	-0.689	-1.531	-9.340
186715.424	NaN	-6.098	2.380	20.913	1504.029	1501.099	1496.703	-0.336	0.611	-1.191	-0.536	-1.148	-9.340
186716.400	NaN	-5.674	2.391	21.250	1503.297	1501.099	1495.238	-0.489	0.718	-1.038	-0.459	-1.378	-9.416
186717.377	NaN	-5.946	2.348	21.076	1503.297	1500.366	1495.971	-0.504	0.824	-1.099	-0.536	-1.148	-9.493
186718.353	NaN	-5.826	2.380	20.924	1504.029	1500.366	1495.238	-0.366	0.733	-1.313	-0.077	-1.148	-9.263
186719.330	NaN	-6.120	2.337	20.891	1504.029	1500.366	1494.505	-0.489	0.687	-1.450	-0.306	-0.306	-9.340
186720.306	NaN	-5.728	2.370	21.130	1504.029	1500.366	1495.238	-0.656	0.763	-1.206	-0.230	-1.378	-9.263
186721.283	NaN	-5.902	2.370	20.967	1504.762	1500.366	1495.971	-0.565	0.718	-0.977	-0.536	-1.225	-9.493
