Timestamp	PC Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Int A12	Int A13	Int A14	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z
238122.955	NaN	-3.163	1.457	9.478	1506.227	1504.029	1509.890	7.649	-0.809	-14.000	-5.742	-0.383	8.421
238123.932	NaN	-3.152	1.457	9.489	1506.227	1504.029	1511.355	7.649	-0.824	-13.863	-5.818	-0.459	8.498
238124.908	NaN	-3.152	1.457	9.478	1506.227	1504.029	1509.890	7.649	-1.023	-13.832	-5.818	-0.383	8.344
238125.885	NaN	-3.152	1.457	9.467	1504.762	1504.029	1511.355	7.527	-0.947	-13.695	-5.742	-0.459	8.421
238126.862	NaN	-3.152	1.457	9.467	1505.495	1503.297	1510.623	7.267	-0.763	-13.740	-5.818	-0.306	8.421
238127.838	NaN	-3.152	1.457	9.457	1505.495	1504.029	1509.890	7.282	-0.672	-14.015	-5.742	-0.383	8.421
238128.815	NaN	-3.152	1.457	9.446	1504.762	1504.029	1509.890	7.298	-0.916	-14.153	-5.742	-0.306	8.344
238129.791	NaN	-3.152	1.467	9.446	1505.495	1504.029	1512.088	7.450	-1.069	-14.000	-5.818	-0.459	8.421
238130.768	NaN	-3.152	1.467	9.446	1504.762	1503.297	1510.623	7.618	-1.084	-14.000	-5.818	-0.306	8.421
238131.744	NaN	-3.152	1.457	9.446	1505.495	1504.029	1510.623	7.634	-1.084	-13.847	-5.742	-0.306	8.421
238132.721	NaN	-3.141	1.457	9.446	1504.762	1504.029	1511.355	7.664	-0.947	-13.710	-5.742	-0.459	8.498
238133.698	NaN	-3.152	1.467	9.457	1506.227	1504.029	1510.623	7.450	-0.947	-13.786	-5.665	-0.306	8.498
238134.674	NaN	-3.152	1.457	9.457	1505.495	1504.029	1511.355	7.313	-1.008	-13.939	-5.818	-0.306	8.498
238135.651	NaN	-3.141	1.457	9.467	1504.029	1504.762	1510.623	7.511	-1.053	-13.863	-5.895	-0.230	8.421
238136.627	NaN	-3.152	1.467	9.457	1506.227	1504.762	1511.355	7.603	-1.069	-13.847	-5.742	-0.459	8.574
238137.604	NaN	-3.163	1.467	9.457	1505.495	1503.297	1509.890	7.481	-0.992	-13.786	-5.742	-0.306	8.421
238138.580	NaN	-3.141	1.467	9.457	1505.495	1504.029	1510.623	7.481	-0.992	-13.847	-5.742	-0.306	8.421
238139.557	NaN	-3.141	1.467	9.457	1505.495	1503.297	1509.158	7.389	-0.962	-13.802	-5.818	-0.459	8.421
238140.533	NaN	-3.141	1.446	9.457	1505.495	1504.029	1511.355	7.221	-1.023	-13.802	-5.818	-0.383	8.344
238141.510	NaN	-3.141	1.457	9.467	1505.495	1504.029	1509.890	7.282	-1.115	-13.786	-5.818	-0.306	8.421
238142.487	NaN	-3.130	1.457	9.478	1504.762	1504.029	1510.623	7.252	-1.084	-13.710	-5.818	-0.459	8.498
238143.463	NaN	-3.141	1.457	9.478	1505.495	1504.029	1510.623	7.435	-1.099	-13.710	-5.742	-0.383	8.421
238144.440	NaN	-3.141	1.467	9.478	1504.029	1503.297	1509.890	7.679	-0.870	-13.954	-5.742	-0.383	8.344
238145.416	NaN	-3.152	1.457	9.467	1505.495	1504.029	1510.623	7.573	-0.611	-13.969	-5.818	-0.459	8.498
238146.393	NaN	-3.141	1.467	9.457	1505.495	1504.029	1510.623	7.603	-0.733	-13.817	-5.895	-0.383	8.498
238147.369	NaN	-3.141	1.457	9.457	1504.762	1503.297	1509.890	7.527	-0.550	-13.649	-5.895	-0.383	8.421
238148.346	NaN	-3.152	1.467	9.457	1505.495	1503.297	1510.623	7.145	-0.702	-13.542	-5.818	-0.383	8.344
238149.323	NaN	-3.152	1.467	9.457	1504.029	1504.029	1510.623	7.145	-0.840	-13.603	-5.895	-0.459	8.421
238150.299	NaN	-3.141	1.467	9.446	1504.762	1503.297	1509.890	7.328	-0.763	-13.786	-5.818	-0.230	8.344
238151.276	NaN	-3.130	1.478	9.457	1505.495	1502.564	1509.158	7.496	-0.748	-13.695	-5.742	-0.230	8.421
238152.252	NaN	-3.130	1.478	9.446	1505.495	1504.029	1509.890	7.206	-0.885	-13.603	-5.818	-0.459	8.421
238153.229	NaN	-3.130	1.467	9.457	1506.960	1504.029	1509.158	7.130	-0.840	-13.863	-5.895	-0.306	8.344
238154.205	NaN	-3.141	1.457	9.446	1506.960	1503.297	1510.623	7.160	-0.947	-13.954	-5.665	-0.459	8.421
238155.182	NaN	-3.141	1.457	9.446	1505.495	1503.297	1508.425	7.252	-0.901	-13.908	-5.895	-0.383	8.421
238156.158	NaN	-3.120	1.457	9.446	1504.029	1503.297	1508.425	7.420	-0.794	-13.893	-5.818	-0.306	8.421
238157.135	NaN	-3.120	1.467	9.446	1505.495	1504.029	1510.623	7.435	-1.023	-13.832	-5.818	-0.459	8.421
238158.112	NaN	-3.130	1.457	9.446	1504.762	1504.029	1510.623	7.389	-1.008	-13.847	-5.818	-0.306	8.344
238159.088	NaN	-3.130	1.467	9.457	1505.495	1504.762	1509.158	7.344	-1.008	-14.000	-5.818	-0.536	8.421
238160.065	NaN	-3.120	1.489	9.467	1504.762	1504.029	1510.623	7.405	-0.931	-13.893	-5.971	-0.306	8.498
238161.041	NaN	-3.120	1.489	9.467	1505.495	1503.297	1510.623	7.420	-0.947	-13.756	-5.818	-0.459	8.498
238162.018	NaN	-3.130	1.489	9.478	1504.762	1504.029	1510.623	7.664	-0.916	-13.817	-5.742	-0.459	8.574
238162.994	NaN	-3.130	1.478	9.478	1506.227	1504.029	1510.623	7.664	-0.931	-13.985	-5.971	-0.383	8.344
238163.971	NaN	-3.130	1.478	9.489	1506.960	1504.029	1510.623	7.389	-0.901	-13.924	-5.818	-0.383	8.421
238164.948	NaN	-3.141	1.478	9.489	1506.227	1503.297	1509.890	7.557	-0.947	-13.863	-5.818	-0.306	8.191
238165.924	NaN	-3.130	1.467	9.489	1504.762	1504.029	1509.890	7.511	-1.023	-13.847	-5.818	-0.383	8.421
238166.901	NaN	-3.130	1.457	9.478	1504.762	1504.762	1510.623	7.389	-0.870	-13.725	-5.818	-0.383	8.344
238167.877	NaN	-3.141	1.457	9.467	1506.227	1504.762	1509.890	7.527	-0.901	-13.832	-5.895	-0.383	8.574
238168.854	NaN	-3.152	1.457	9.467	1505.495	1502.564	1509.890	7.496	-0.794	-13.786	-5.895	-0.459	8.344
